url,locale,htmlLang,canonical,canonicalOk,hreflangOk,notes
"/ru","ru","ru","https://dordoi.help/ru","true","true",""
"/ru/catalog","ru","ru","https://dordoi.help/ru/catalog","true","true",""
"/ru/sell","ru","ru","https://dordoi.help/ru/sell","true","true",""
"/ru/suppliers","ru","ru","https://dordoi.help/ru/suppliers","true","true",""
"/ru/buyers","ru","ru","https://dordoi.help/ru/buyers","true","true",""
"/ru/buyer-service","ru","ru","https://dordoi.help/ru/buyer-service","true","true",""
"/ru/about","ru","ru","https://dordoi.help/ru/about","true","true",""
"/ru/how-it-works","ru","ru","https://dordoi.help/ru/how-it-works","true","true",""
"/ru/for-buyers","ru","ru","https://dordoi.help/ru/for-buyers","true","true",""
"/ru/for-sellers","ru","ru","https://dordoi.help/ru/for-sellers","true","true",""
"/ru/help","ru","ru","https://dordoi.help/ru/help","true","true",""
"/ru/faq","ru","ru","https://dordoi.help/ru/faq","true","true",""
"/ru/dordoi-kazakhstan","ru","ru","https://dordoi.help/ru/dordoi-kazakhstan","true","true",""
"/ru/dordoi-uzbekistan","ru","ru","https://dordoi.help/ru/dordoi-uzbekistan","true","true",""
"/ru/dordoi-tajikistan","ru","ru","https://dordoi.help/ru/dordoi-tajikistan","true","true",""
"/ru/dordoi-russia","ru","ru","https://dordoi.help/ru/dordoi-russia","true","true",""
"/ru/dordoi-kyrgyzstan","ru","ru","https://dordoi.help/ru/dordoi-kyrgyzstan","true","true",""
"/ru/contact","ru","ru","https://dordoi.help/ru/contact","true","true",""
"/ru/privacy","ru","ru","https://dordoi.help/ru/privacy","true","true",""
"/ru/terms","ru","ru","https://dordoi.help/ru/terms","true","true",""
"/ru/refund","ru","ru","https://dordoi.help/ru/refund","true","true",""
"/ru/kargo-dordoi","ru","ru","https://dordoi.help/ru/kargo-dordoi","true","true",""
"/ru/dordoi-optom","ru","ru","https://dordoi.help/ru/dordoi-optom","true","true",""
"/ru/rynok-bishkek","ru","ru","https://dordoi.help/ru/rynok-bishkek","true","true",""
"/ru/rynok-dordoi","ru","ru","https://dordoi.help/ru/rynok-dordoi","true","true",""
"/ru/categories/zhenskaya-odezhda-optom","ru","ru","https://dordoi.help/ru/categories/zhenskaya-odezhda-optom","true","true",""
"/ru/categories/muzhskaya-odezhda-optom","ru","ru","https://dordoi.help/ru/categories/muzhskaya-odezhda-optom","true","true",""
"/ru/categories/detskaya-odezhda-optom","ru","ru","https://dordoi.help/ru/categories/detskaya-odezhda-optom","true","true",""
"/ru/categories/nizhnee-bele-kupalniki-optom","ru","ru","https://dordoi.help/ru/categories/nizhnee-bele-kupalniki-optom","true","true",""
"/ru/categories/obuv-optom","ru","ru","https://dordoi.help/ru/categories/obuv-optom","true","true",""
"/ru/categories/sumki-kozhgalantereya-optom","ru","ru","https://dordoi.help/ru/categories/sumki-kozhgalantereya-optom","true","true",""
"/ru/categories/aksessuary-optom","ru","ru","https://dordoi.help/ru/categories/aksessuary-optom","true","true",""
"/ru/categories/tkani-shveynaya-furnitura-optom","ru","ru","https://dordoi.help/ru/categories/tkani-shveynaya-furnitura-optom","true","true",""
"/ru/categories/tekstil-dlya-doma-optom","ru","ru","https://dordoi.help/ru/categories/tekstil-dlya-doma-optom","true","true",""
"/ru/categories/kosmetika-parfyumeriya-uhod-optom","ru","ru","https://dordoi.help/ru/categories/kosmetika-parfyumeriya-uhod-optom","true","true",""
"/ru/categories/igrushki-tovary-dlya-detey-optom","ru","ru","https://dordoi.help/ru/categories/igrushki-tovary-dlya-detey-optom","true","true",""
"/ru/categories/elektronika-mobilnye-aksessuary-optom","ru","ru","https://dordoi.help/ru/categories/elektronika-mobilnye-aksessuary-optom","true","true",""
"/ru/categories/upakovka-torgovoe-oborudovanie","ru","ru","https://dordoi.help/ru/categories/upakovka-torgovoe-oborudovanie","true","true",""
"/ru/categories/tovary-dlya-doma-hoztovary-optom","ru","ru","https://dordoi.help/ru/categories/tovary-dlya-doma-hoztovary-optom","true","true",""
"/ru/categories/avtotovary-aksessuary-optom","ru","ru","https://dordoi.help/ru/categories/avtotovary-aksessuary-optom","true","true",""
"/ru/categories/sport-turizm-otdyh-optom","ru","ru","https://dordoi.help/ru/categories/sport-turizm-otdyh-optom","true","true",""
"/ru/blog","ru","ru","https://dordoi.help/ru/blog","true","true",""
"/ru/blog/kak-nayti-postavshchika-dordoi","ru","ru","https://dordoi.help/ru/blog/kak-nayti-postavshchika-dordoi","true","true",""
"/ru/blog/kargo-dordoi-kak-rabotaet-dostavka","ru","ru","https://dordoi.help/ru/blog/kargo-dordoi-kak-rabotaet-dostavka","true","true",""
"/ru/blog/kak-kupit-optom-na-dordoe","ru","ru","https://dordoi.help/ru/blog/kak-kupit-optom-na-dordoe","true","true",""
"/ru/blog/kak-proverit-postavshchika-dordoi","ru","ru","https://dordoi.help/ru/blog/kak-proverit-postavshchika-dordoi","true","true",""
"/ru/blog/chek-list-zakupki-na-dordoe","ru","ru","https://dordoi.help/ru/blog/chek-list-zakupki-na-dordoe","true","true",""
"/ru/blog/kak-sravnit-postavshchikov-dordoi","ru","ru","https://dordoi.help/ru/blog/kak-sravnit-postavshchikov-dordoi","true","true",""
"/ru/blog/kak-napisat-postavshchiku-dordoi","ru","ru","https://dordoi.help/ru/blog/kak-napisat-postavshchiku-dordoi","true","true",""
"/ru/blog/kak-zakupat-na-dordoe-udalenno","ru","ru","https://dordoi.help/ru/blog/kak-zakupat-na-dordoe-udalenno","true","true",""
"/ru/blog/dostavka-s-dordoya-v-kazakhstan","ru","ru","https://dordoi.help/ru/blog/dostavka-s-dordoya-v-kazakhstan","true","true",""
"/ru/blog/dostavka-s-dordoya-v-uzbekistan","ru","ru","https://dordoi.help/ru/blog/dostavka-s-dordoya-v-uzbekistan","true","true",""
"/ru/blog/dostavka-s-dordoya-v-tajikistan","ru","ru","https://dordoi.help/ru/blog/dostavka-s-dordoya-v-tajikistan","true","true",""
"/ru/blog/dostavka-s-dordoya-v-russia","ru","ru","https://dordoi.help/ru/blog/dostavka-s-dordoya-v-russia","true","true",""
"/ru/blog/kargo-dordoi-skolko-vremeni-zanimaet","ru","ru","https://dordoi.help/ru/blog/kargo-dordoi-skolko-vremeni-zanimaet","true","true",""
"/ru/blog/bayer-dordoi-kto-eto-i-zachem-nuzhen","ru","ru","https://dordoi.help/ru/blog/bayer-dordoi-kto-eto-i-zachem-nuzhen","true","true",""
"/ru/blog/kak-vybrat-bayera-dordoi","ru","ru","https://dordoi.help/ru/blog/kak-vybrat-bayera-dordoi","true","true",""
"/ru/blog/bayer-dordoi-dlya-kazakhstana","ru","ru","https://dordoi.help/ru/blog/bayer-dordoi-dlya-kazakhstana","true","true",""
"/ru/blog/bayer-ili-samostoyatelnaya-zakupka-dordoi","ru","ru","https://dordoi.help/ru/blog/bayer-ili-samostoyatelnaya-zakupka-dordoi","true","true",""
"/ru/blog/zhenskaya-odezhda-optom-dordoi","ru","ru","https://dordoi.help/ru/blog/zhenskaya-odezhda-optom-dordoi","true","true",""
"/ru/blog/muzhskaya-odezhda-optom-dordoi","ru","ru","https://dordoi.help/ru/blog/muzhskaya-odezhda-optom-dordoi","true","true",""
"/ru/blog/detskaya-odezhda-optom-dordoi","ru","ru","https://dordoi.help/ru/blog/detskaya-odezhda-optom-dordoi","true","true",""
"/ru/blog/obuv-optom-dordoi","ru","ru","https://dordoi.help/ru/blog/obuv-optom-dordoi","true","true",""
"/ru/blog/sumki-optom-dordoi","ru","ru","https://dordoi.help/ru/blog/sumki-optom-dordoi","true","true",""
"/ru/blog/tkani-i-furnitura-dordoi","ru","ru","https://dordoi.help/ru/blog/tkani-i-furnitura-dordoi","true","true",""
"/ru/blog/dordoi-optom-polnyy-gid","ru","ru","https://dordoi.help/ru/blog/dordoi-optom-polnyy-gid","true","true",""
"/ru/blog/dordoi-online-katalog-kak-polzovatsya","ru","ru","https://dordoi.help/ru/blog/dordoi-online-katalog-kak-polzovatsya","true","true",""
"/ru/blog/dordoi-prais-listy-i-tseny-kak-utochnyat","ru","ru","https://dordoi.help/ru/blog/dordoi-prais-listy-i-tseny-kak-utochnyat","true","true",""
"/ru/blog/kontakty-postavshchikov-dordoi-kak-otkryt-bezopasno","ru","ru","https://dordoi.help/ru/blog/kontakty-postavshchikov-dordoi-kak-otkryt-bezopasno","true","true",""
"/ru/blog/trikotazh-optom-dordoi","ru","ru","https://dordoi.help/ru/blog/trikotazh-optom-dordoi","true","true",""
"/ru/blog/nizhnee-bele-i-korsety-optom-dordoi","ru","ru","https://dordoi.help/ru/blog/nizhnee-bele-i-korsety-optom-dordoi","true","true",""
"/ru/blog/postelnoe-bele-optom-kyrgyzstan","ru","ru","https://dordoi.help/ru/blog/postelnoe-bele-optom-kyrgyzstan","true","true",""
"/ru/blog/postavshchiki-dlya-wildberries-bishkek","ru","ru","https://dordoi.help/ru/blog/postavshchiki-dlya-wildberries-bishkek","true","true",""
"/ru/blog/tovary-optom-dlya-marketpleysov-kyrgyzstan","ru","ru","https://dordoi.help/ru/blog/tovary-optom-dlya-marketpleysov-kyrgyzstan","true","true",""
"/ru/blog/shveynye-tsekha-bishkek-i-proizvodstvo-odezhdy","ru","ru","https://dordoi.help/ru/blog/shveynye-tsekha-bishkek-i-proizvodstvo-odezhdy","true","true",""
"/ru/blog/poshiv-odezhdy-pod-klyuch-bishkek","ru","ru","https://dordoi.help/ru/blog/poshiv-odezhdy-pod-klyuch-bishkek","true","true",""
"/ru/blog/rynok-bishkek-optovye-rynki-gde-iskat-postavshchikov","ru","ru","https://dordoi.help/ru/blog/rynok-bishkek-optovye-rynki-gde-iskat-postavshchikov","true","true",""
"/ru/blog/postavshchiki-bishkek-kak-nayti-optovogo-partnera","ru","ru","https://dordoi.help/ru/blog/postavshchiki-bishkek-kak-nayti-optovogo-partnera","true","true",""
"/ru/blog/rynok-dordoi-bishkek-postavshchiki-katalog-i-kategorii","ru","ru","https://dordoi.help/ru/blog/rynok-dordoi-bishkek-postavshchiki-katalog-i-kategorii","true","true",""
